Category,Headline,Link,Date,Month,Year
BENGALURU CRIME,"Health inspector forgets to lock scooter, stolen",https://www.deccanherald.com/city/bengaluru-crime/health-inspector-forgets-to-lock-scooter-stolen-819820.html,1,4,2020
BENGALURU CRIME,CCB police bust fake thermometers racket in Bengaluru,https://www.deccanherald.com/city/bengaluru-crime/ccb-police-bust-fake-infrared-forehead-thermometers-racket-in-bengaluru-819873.html,1,4,2020
BENGALURU CRIME,CCB police arrest man for manufacturing fake sanitisers,https://www.deccanherald.com/city/bengaluru-crime/ccb-police-arrest-man-for-manufacturing-fake-sanitisers-in-bengaluru-819890.html,1,4,2020
BENGALURU CRIME,Lockdown: Man out to buy cigarettes assaults police,https://www.deccanherald.com/city/bengaluru-crime/lockdown-man-out-to-buy-cigarettes-assaults-police-820234.html,1,4,2020
BUSINESS,Coronavirus slump may rival big recessions in history,https://www.deccanherald.com/business/covid-19-slump-expected-to-rival-big-recessions-in-history-819863.html,1,4,2020
BUSINESS,'State Budgets would undergo massive revisions',https://www.deccanherald.com/business/covid-19-state-budgets-would-undergo-massive-revisions-says-sbi-ecowrap-819864.html,1,4,2020
BUSINESS,Narayana Murthy family commits Rs 10cr to Akshaya Patra,https://www.deccanherald.com/business/infosys-founder-n-r-narayana-murthy-and-his-family-commit-rs-10-crore-to-akshaya-patra-towards-covid-19-relief-819871.html,1,4,2020
BUSINESS,Some employees will get salaries in 2 parts: SpiceJet,https://www.deccanherald.com/business/coronavirus-effect-spicejet-says-some-employees-will-get-salaries-in-2-parts-819872.html,1,4,2020
BUSINESS,After an earthquake there are tremors: Steve Cohen,https://www.deccanherald.com/business/after-an-earthquake-there-are-tremors-billionaire-investor-steve-cohen-819885.html,1,4,2020
BUSINESS,India’s budget under strain on day 1 of new fiscal year,https://www.deccanherald.com/business/india-s-budget-under-strain-on-day-one-of-new-fiscal-year-819898.html,1,4,2020
BUSINESS,"Maruti Suzuki India sells 83,792 units in March",https://www.deccanherald.com/business/maruti-suzuki-india-sells-83792-units-in-march-819901.html,1,4,2020
BUSINESS,Coronavirus: Tokyo's Nikkei closes down more than 4%,https://www.deccanherald.com/business/tokyos-nikkei-closes-down-more-than-4-on-growing-coronavirus-concern-819913.html,1,4,2020
BUSINESS,LPG prices cut by over Rs 60 per cylinder,https://www.deccanherald.com/business/lpg-prices-reduced-by-over-rs-60-per-cylinder-no-major-change-in-petrol-diesel-rates-819915.html,1,4,2020
BUSINESS,"Apple, Xiaomi, Realme and others hike phone prices",https://www.deccanherald.com/business/gst-effect-apple-xiaomi-realme-and-others-hike-mobile-prices-in-india-819995.html,1,4,2020
BUSINESS,‘Once-in-a-decade’ chance in Indian stocks: S Naren,https://www.deccanherald.com/business/icici-prudentials-s-naren-sees-once-in-a-decade-opportunity-in-india-stocks-820015.html,1,4,2020
