Category,Headline,Link
thiruvananthapuram,"രണ്ടുപേർക്കുകൂടി കോവിഡ്‌
Thursday May 21, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-21-05-2020/872737
thiruvananthapuram,"വെട്ടിക്കയറി, വെട്ടംവന്നു
Thursday May 21, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-21-05-2020/872734
thiruvananthapuram,"ടൗവലില്ലേ, സാരമില്ല പത്രക്കുപ്പായമുണ്ട്‌
Thursday May 21, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-21-05-2020/872731
thiruvananthapuram,"അക്ഷരക്കരുത്തേകി ലളിതാംബിക അന്തർജനത്തിന്റെ മകൾ
Thursday May 21, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-21-05-2020/872723
thiruvananthapuram,"ആറ്റിങ്ങലിലെത്തിയവർക്ക്‌ സഹായവുമായി നഗരസഭാ ചെയർമാൻ
Thursday May 21, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-21-05-2020/872677
thiruvananthapuram,"കാർ വെള്ളായണി കായലിൽ വീണു
Thursday May 21, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-21-05-2020/872672
thiruvananthapuram,"നന്ദിയോട് പഞ്ചായത്തിൽ അനാവശ്യ സമരവുമായി കോൺഗ്രസ്
Thursday May 21, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-21-05-2020/872668
thiruvananthapuram,"നായനാർ ദിനത്തിൽ കുടുംബം ദുരിതാശ്വാസ നിധിയിലേക്ക്‌ സംഭാവന നൽകി
Wednesday May 20, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-20-05-2020/872581
thiruvananthapuram,"അച്ഛന്റെ സ്‌മരണയിൽ രക്തപതാക ഉയർത്തി മകൾ
Wednesday May 20, 2020",https://www.deshabhimani.com/news/kerala/news-20-05-2020/872580
thiruvananthapuram,"കൊറോണ ഉടൻ സ്‌റ്റാൻഡ്‌ വിട്ടുപോണം.
Wednesday May 20, 2020",https://www.deshabhimani.com/news/kerala/news-20-05-2020/872579
thiruvananthapuram,"""വീട്ടുവളപ്പിൽ വാഴ' ചലഞ്ചുമായി യുവത
Wednesday May 20, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-20-05-2020/872578
thiruvananthapuram,"നീട്ടിയ മുടിക്കും താടിക്കും ബൈ
Wednesday May 20, 2020",https://www.deshabhimani.com/news/kerala/news-20-05-2020/872577
