headline,url,base_url,status
వలస కూలీలకు భోజన సదుపాయం,https://www.eenadu.net/archivespage/districtnewsdetails/120044020/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
కార్మికులకు కుటుంబం భారం కాకూడదు,https://www.eenadu.net/archivespage/districtnewsdetails/120044016/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
వలస కార్మికులకు చేయూత,https://www.eenadu.net/archivespage/districtnewsdetails/120044002/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
పారిశుద్ధ్య కార్మికులకు కూరగాయల పంపిణీ,https://www.eenadu.net/archivespage/districtnewsdetails/120043924/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
పారిశుద్ధ్య కార్మికులకు కూరగాయల పంపిణీ,https://www.eenadu.net/archivespage/districtnewsdetails/120043924/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
గడ్డిఅన్నారం మార్కెట్‌ను మూసేయండి..,https://www.eenadu.net/archivespage/districtnewsdetails/120043919/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
గడ్డిఅన్నారం మార్కెట్‌ను మూసేయండి..,https://www.eenadu.net/archivespage/districtnewsdetails/120043919/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
చర్లపల్లి పారిశ్రామికవాడలో రసాయన ద్రావణం పిచికారి,https://www.eenadu.net/archivespage/districtnewsdetails/120043904/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
వలస జీవులకు ఆహార భద్రత,https://www.eenadu.net/archivespage/districtnewsdetails/120043710/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
శిశు విహార్‌లో పిల్లలకు భద్రత,https://www.eenadu.net/archivespage/districtnewsdetails/120043709/529/n/1-04-2020,https://www.eenadu.net/archivespage/districtmore/Hyderabad/1-04-2020,success
