valasa,kaarmi,andolana,poli,svastha,road,dharna,kooli,nirasana,vyaktham,asanthrupthi,baitayi,vethanalu,vetha,baadha,url,status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220076049/1-05-2020/cinema/,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075570/1-05-2020/cinema/,success
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075569/1-05-2020/cinema/,success
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,https://www.eenadu.net/archivespage/archivenewsdetails/220075564/1-05-2020/cinema/,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.eenadu.net/archivespage/archivenewsdetails/220075559/1-05-2020/cinema/,success
2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075910/1-05-2020/crime/,success
2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075909/1-05-2020/crime/,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075908/1-05-2020/crime/,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/220075907/1-05-2020/crime/,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/120058100/1-05-2020/featurepage/n,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/120058094/1-05-2020/featurepage/n,success
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/120058077/1-05-2020/featurepage/n,success
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.eenadu.net/archivespage/archivenewsdetails/120058070/1-05-2020/featurepage/n,success
