headline,url,base_url,status
 అవును నిజమే.. అఘోరాగా బాలయ్య..! ,https://www.eenadu.net/archivespage/archivenewsdetails/220076049/1-05-2020/cinema/,https://www.eenadu.net/archivespage/cinemamore/1-05-2020,success
 ఇంట్లో చిక్కుకున్న మహిళల్ని కాపాడండి..! ,https://www.eenadu.net/archivespage/archivenewsdetails/220075570/1-05-2020/cinema/,https://www.eenadu.net/archivespage/cinemamore/1-05-2020,success
" సమంత, చైతన్య నా ఇంట్లోనే ఉంటున్నారు..! ",https://www.eenadu.net/archivespage/archivenewsdetails/220075569/1-05-2020/cinema/,https://www.eenadu.net/archivespage/cinemamore/1-05-2020,success
 వినీలాకాశానికి  విలక్షణ అభినయం... ,https://www.eenadu.net/archivespage/archivenewsdetails/220075564/1-05-2020/cinema/,https://www.eenadu.net/archivespage/cinemamore/1-05-2020,success
 ‘వరల్డ్‌ ఫేమస్‌ లవర్’‌పై రాశీఖన్నా కామెంట్స్‌ ,https://www.eenadu.net/archivespage/archivenewsdetails/220075559/1-05-2020/cinema/,https://www.eenadu.net/archivespage/cinemamore/1-05-2020,success
 గాలివానకు కూలిన కుటుంబం ,https://www.eenadu.net/archivespage/archivenewsdetails/220075910/1-05-2020/crime/,https://www.eenadu.net/archivespage/crimemore/1-05-2020,success
 గమ్యం చేరని ప్రయాణం ,https://www.eenadu.net/archivespage/archivenewsdetails/220075909/1-05-2020/crime/,https://www.eenadu.net/archivespage/crimemore/1-05-2020,success
 పాక్‌ మోర్టార్ల దాడిలో యువకుడి మృతి ,https://www.eenadu.net/archivespage/archivenewsdetails/220075908/1-05-2020/crime/,https://www.eenadu.net/archivespage/crimemore/1-05-2020,success
 ఎన్‌ఐఏ అదుపులో ఆయుధ డీలర్‌ ,https://www.eenadu.net/archivespage/archivenewsdetails/220075907/1-05-2020/crime/,https://www.eenadu.net/archivespage/crimemore/1-05-2020,success
 భలే భలే... కరోనాను తరిమే రోబోలు!,https://www.eenadu.net/archivespage/archivenewsdetails/120058100/1-05-2020/featurepage/n,https://www.eenadu.net/archivespage/featuremorenew/1-05-2020,success
