headline,url,base_url,status
కరోనా నివారణ చర్యలకు మద్దతు,https://www.eenadu.net/archivespage/archivenewsdetails/220057779/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
వలస కూలీలను రాష్ట్ర ప్రభుత్వం ఆదుకోవాలి,https://www.eenadu.net/archivespage/archivenewsdetails/220057777/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
కరోనా కట్టడికి చర్యలు చేపట్టాలి,https://www.eenadu.net/archivespage/archivenewsdetails/220057774/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
"కార్మికులు, కూలీలు ఉపాధి కోల్పోయారు: పవన్‌",https://www.eenadu.net/archivespage/archivenewsdetails/220057669/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
కరోనా పరీక్షలు భారీగా చేయాలి,https://www.eenadu.net/archivespage/archivenewsdetails/220057659/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
దిల్లీ నుంచి గల్లీ దాకా,https://www.eenadu.net/archivespage/archivenewsdetails/220057852/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
మాస్కులతో కరోనాకు అడ్డుకట్ట,https://www.eenadu.net/archivespage/archivenewsdetails/220057840/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
"తెలంగాణ నుంచి 1,030 మంది!",https://www.eenadu.net/archivespage/archivenewsdetails/220057834/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
కరోనాపై పోరుకు రామోజీరావు రూ.20 కోట్ల విరాళం,https://www.eenadu.net/archivespage/archivenewsdetails/220057829/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
కుదుటపడ్డాక పూర్తి జీతం,https://www.eenadu.net/archivespage/archivenewsdetails/220057823/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
సానుకూల ధోరణే శ్రీరామరక్ష,https://www.eenadu.net/archivespage/archivenewsdetails/220057814/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
వారిని గుర్తించండి..వ్యాప్తిని అరికట్టండి,https://www.eenadu.net/archivespage/archivenewsdetails/220057811/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
ఒకే రోజు 15 కేసులు,https://www.eenadu.net/archivespage/archivenewsdetails/220057809/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
విద్యుత్‌ మీటర్‌ రీడింగ్‌ నమోదు వాయిదా!,https://www.eenadu.net/archivespage/archivenewsdetails/220057806/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
జీవో 27పై ఆర్థికశాఖ స్పష్టత,https://www.eenadu.net/archivespage/archivenewsdetails/220057803/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
చైనాను దాటిన అమెరికా,https://www.eenadu.net/archivespage/archivenewsdetails/220057799/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
హైదరాబాద్‌లో ‘దిల్లీ’ కుదుపు,https://www.eenadu.net/archivespage/archivenewsdetails/220057795/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
ఏమిటీ తబ్లిగి జమాత్‌,https://www.eenadu.net/archivespage/archivenewsdetails/220057788/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
ఎవరెవరికి వైరస్‌ సోకిందో!,https://www.eenadu.net/archivespage/archivenewsdetails/220057786/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
బియ్యం పంపిణీకి కూపన్లు,https://www.eenadu.net/archivespage/archivenewsdetails/220057784/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
కరోనాపై కదనం,https://www.eenadu.net/archivespage/archivenewsdetails/220057781/1-04-2020/home,https://www.eenadu.net/archivespage/more/1-04-2020,success
