Category,Headline,Link,Date,Month,Year
Front Page,Officials of Tablighi Jamaat charged with defying restrictions,https://www.thehindu.com/todays-paper/officials-of-tablighi-jamaat-charged-with-defying-restrictions/article31222897.ece,1,04,2020
Front Page,"Treat migrants humanely, SC tells officials",https://www.thehindu.com/todays-paper/treat-migrants-humanely-sc-tells-officials/article31222892.ece,1,04,2020
Front Page,Positive cases shoot up to 44 in State,https://www.thehindu.com/todays-paper/positive-cases-shoot-up-to-44-in-state/article31222884.ece,1,04,2020
Front Page,Positive cases cross 100 in Karnataka,https://www.thehindu.com/todays-paper/positive-cases-cross-100-in-karnataka/article31222924.ece,1,04,2020
Front Page,Youth beaten to death in Bihar village,https://www.thehindu.com/todays-paper/youth-beaten-to-death-in-bihar-village/article31223067.ece,1,04,2020
Front Page,State registers second COVID-19 death,https://www.thehindu.com/todays-paper/state-registers-second-covid-19-death/article31223177.ece,1,04,2020
Front Page,"Three quasi-subspecies of virus in circulation, says ICMR",https://www.thehindu.com/todays-paper/three-quasi-subspecies-of-virus-in-circulation-says-icmr/article31222889.ece,1,04,2020
Front Page,"Forced to stay back, these workers now battle hunger",https://www.thehindu.com/todays-paper/forced-to-stay-back-these-workers-now-battle-hunger/article31222894.ece,1,04,2020
Front Page,TS bid to trace close contacts of Delhi returnees,https://www.thehindu.com/todays-paper/ts-bid-to-trace-close-contacts-of-delhi-returnees/article31223127.ece,1,04,2020
Front Page,Highest 24-hour surge; tally touches 302,https://www.thehindu.com/todays-paper/highest-24-hour-surge-tally-touches-302/article31223284.ece,1,04,2020
Front Page,57 more test positive in T.N.; highest single-day rise,https://www.thehindu.com/todays-paper/57-more-test-positive-in-tn-highest-single-day-rise/article31222970.ece,1,04,2020
Front Page,15 new cases in State,https://www.thehindu.com/todays-paper/15-new-cases-in-state/article31223126.ece,1,04,2020
Front Page,Indore cases cause concern,https://www.thehindu.com/todays-paper/indore-cases-cause-concern/article31222882.ece,1,04,2020
Front Page,"Govt. cuts interest rates on NSC, PPF",https://www.thehindu.com/todays-paper/govt-cuts-interest-rates-on-nsc-ppf/article31222890.ece,1,04,2020
Front Page,Team to be set up in State,https://www.thehindu.com/todays-paper/team-to-be-set-up-in-state/article31222923.ece,1,04,2020
Front Page,Noida administration seals fire safety firm,https://www.thehindu.com/todays-paper/noida-administration-seals-fire-safety-firm/article31223064.ece,1,04,2020
Front Page,COVID-19: MoUs signed with private hospitals,https://www.thehindu.com/todays-paper/covid-19-mous-signed-with-private-hospitals/article31223065.ece,1,04,2020
Front Page,Deferment of tax payment announced,https://www.thehindu.com/todays-paper/deferment-of-tax-payment-announced/article31222968.ece,1,04,2020
Front Page,Tahsildars authorised to issue passes for travel,https://www.thehindu.com/todays-paper/tahsildars-authorised-to-issue-passes-for-travel/article31222967.ece,1,04,2020
